time_s,faces_detected,selected_face_area,det_score,sheet_close,sheet_1,sheet_2,aug4_0
14.5,8,638.279541015625,0.7804619669914246,0.07059062272310257,0.07461950182914734,0.008382882922887802,-0.021439863368868828
15.0,7,623.4637451171875,0.8324902057647705,0.16599906980991364,0.19882145524024963,0.05739641934633255,0.06387042999267578
15.5,8,639.4846801757812,0.8375550508499146,0.16507327556610107,0.1878742277622223,0.11445885896682739,0.07116241753101349
16.0,8,614.912841796875,0.8214092254638672,0.15242069959640503,0.18260741233825684,0.09990887343883514,0.08551522344350815
16.5,8,624.3782958984375,0.8156309127807617,-0.03218655288219452,-0.05507010966539383,-0.12703609466552734,-0.09173791110515594
17.0,1,141717.359375,0.816462516784668,0.2410120964050293,0.3737637996673584,0.08437938988208771,0.2641782760620117
17.5,1,142027.921875,0.8094158172607422,0.23710069060325623,0.38926684856414795,0.13166889548301697,0.27156999707221985
18.0,1,140132.21875,0.6952424049377441,0.22073416411876678,0.35589927434921265,0.1555798351764679,0.25650155544281006
18.5,1,153401.875,0.7546114921569824,0.25614750385284424,0.3486463129520416,0.1034417375922203,0.2163022756576538
19.0,1,140028.921875,0.7851238250732422,0.23894065618515015,0.3628213107585907,0.10228054225444794,0.24961820244789124
19.5,1,118757.3828125,0.7811049818992615,0.22263529896736145,0.38462555408477783,0.15998870134353638,0.31372249126434326
20.0,1,93696.375,0.8297860622406006,0.2686196565628052,0.36646324396133423,0.11517304182052612,0.27304917573928833
20.5,1,68041.921875,0.8490447998046875,0.2791045904159546,0.41868507862091064,0.18115699291229248,0.3254450559616089
21.0,1,37736.0859375,0.775242805480957,0.27126020193099976,0.34781214594841003,0.14143839478492737,0.2695155739784241
21.5,1,25563.978515625,0.8325673341751099,0.31464657187461853,0.40563419461250305,0.1417403221130371,0.24604995548725128
22.0,1,14357.572265625,0.8119949102401733,0.2976805567741394,0.4228748083114624,0.16028785705566406,0.2691420316696167
22.5,1,8145.11376953125,0.8558916449546814,0.28765755891799927,0.4167829155921936,0.11403392255306244,0.2671055197715759
23.0,1,4606.01171875,0.8548727035522461,0.2384795844554901,0.3525596261024475,0.12732306122779846,0.23668470978736877
23.5,1,2548.92724609375,0.7822223901748657,0.08655080199241638,0.1370525062084198,-0.05377928540110588,0.10745809972286224
24.0,0,0,0,,,,
24.5,1,21038.1796875,0.8305182456970215,0.17336678504943848,0.26300543546676636,0.12963615357875824,0.21091827750205994
25.0,1,18770.998046875,0.8687455654144287,0.10649870336055756,0.18103575706481934,0.20569546520709991,0.20171070098876953
25.5,1,16949.55859375,0.8099030256271362,0.045451607555150986,0.12685373425483704,0.05951206758618355,0.04339967668056488
26.0,0,0,0,,,,
26.5,0,0,0,,,,
27.0,0,0,0,,,,
27.5,0,0,0,,,,
28.0,0,0,0,,,,
28.5,0,0,0,,,,
29.0,0,0,0,,,,
29.5,0,0,0,,,,
