time_s,faces_detected,selected_face_area,det_score,sheet_close,sheet_1,sheet_2,aug4_0
0.0,3,9624.314453125,0.7770074009895325,0.6105025410652161,0.5022301077842712,0.280209481716156,0.3330540657043457
0.5,0,0,0,,,,
1.0,1,2182.5908203125,0.7769893407821655,0.1303858757019043,0.059995025396347046,0.07405681908130646,0.047900211066007614
1.5,1,1349.43408203125,0.8437231779098511,-0.037054382264614105,0.016181062906980515,0.07936349511146545,0.025292303413152695
2.0,1,870.3233032226562,0.8698571920394897,-0.019896849989891052,0.01569255441427231,0.1024942547082901,0.06397802382707596
2.5,0,0,0,,,,
3.0,0,0,0,,,,
3.5,1,889.4442138671875,0.7797918319702148,0.0071830181404948235,0.014334805309772491,0.0981537401676178,0.048772551119327545
4.0,1,1276.4783935546875,0.8672193288803101,0.09100726991891861,0.1490655392408371,0.12005499005317688,0.05217180401086807
4.5,1,1529.5362548828125,0.8362782001495361,0.06711969524621964,0.12320484220981598,0.09698975831270218,0.05059733986854553
5.0,1,1476.846435546875,0.8377774357795715,0.1480836123228073,0.1933007687330246,0.12125198543071747,0.11650098860263824
5.5,1,1340.338134765625,0.8200278282165527,0.2144896686077118,0.19326603412628174,0.14452791213989258,0.12393379211425781
6.0,1,1224.389404296875,0.8278871774673462,0.24640527367591858,0.2641226351261139,0.1455317884683609,0.15726691484451294
6.5,1,963.0765380859375,0.8050483465194702,0.18587109446525574,0.19417273998260498,0.13659918308258057,0.13434746861457825
7.0,1,692.9956665039062,0.7670469284057617,0.07144370675086975,0.07893843948841095,0.03076419234275818,-0.004982762970030308
7.5,1,472.7816467285156,0.7081999182701111,0.03100135177373886,0.04118398576974869,-0.0009311363101005554,-0.008405471220612526
8.0,1,324.07745361328125,0.5995904803276062,-0.07613205909729004,-0.10843417793512344,0.027533289045095444,-0.08834399282932281
8.5,0,0,0,,,,
9.0,7,1514.4658203125,0.7429448962211609,0.10153096914291382,0.07253458350896835,0.020386232063174248,0.04140254855155945
9.5,2,688.7891235351562,0.506526529788971,0.043776411563158035,0.010523391887545586,0.09994363784790039,0.045518454164266586
10.0,2,167.94874572753906,0.5159434080123901,-0.0076916832476854324,-0.009894557297229767,0.011180139146745205,-0.011968258768320084
10.5,2,151.1089630126953,0.6624650955200195,0.011140036396682262,0.0007845200598239899,0.047095105051994324,0.009357346221804619
11.0,1,264.86956787109375,0.7663083076477051,0.017715584486722946,0.011995581910014153,0.10974666476249695,0.007403409108519554
11.5,1,502.4089050292969,0.8001999855041504,0.08670312166213989,0.06615748256444931,0.12117806077003479,0.059642694890499115
12.0,4,601.443359375,0.7516462802886963,0.06263303756713867,0.03446057066321373,0.03320593759417534,0.014686853624880314
12.5,6,615.822509765625,0.712907075881958,0.04746288061141968,0.05968764051795006,-0.009878532961010933,0.034635551273822784
13.0,5,665.7109375,0.7960182428359985,0.031310755759477615,0.0038699544966220856,-0.007727028802037239,-0.09847108274698257
13.5,7,645.6550903320312,0.779130220413208,0.04496336728334427,0.015698809176683426,-0.0016723088920116425,-0.063033826649189
14.0,8,612.7131958007812,0.8371378183364868,0.08710745722055435,0.04697746783494949,0.04845995455980301,-0.02939503639936447
